Library_ID	Run_ID	Filename	md5sum
CHM1-Lib4_P6C4_54pM	2015-05-16_RS42265_CHM1_Lib4_Run18_F01	m150518_084731_42265_c100803552550000001823173210081575_s1_p0.metadata.xml	8d8309e2b61f949d4dc47c599570c945
CHM1-Lib4_P6C4_54pM	2015-05-16_RS42265_CHM1_Lib4_Run18_F01	m150518_084731_42265_c100803552550000001823173210081575_s1_p0.bas.h5	6ab879d4656b7139d7769a10278b391c
CHM1-Lib4_P6C4_54pM	2015-05-16_RS42265_CHM1_Lib4_Run18_F01	m150518_084731_42265_c100803552550000001823173210081575_s1_p0.3.bax.h5	6a0488e310422b00491df73b3616d4b6
CHM1-Lib4_P6C4_54pM	2015-05-16_RS42265_CHM1_Lib4_Run18_F01	m150518_084731_42265_c100803552550000001823173210081575_s1_p0.2.bax.h5	5f20e61b076a43b7d74ba666af84909e
CHM1-Lib4_P6C4_54pM	2015-05-16_RS42265_CHM1_Lib4_Run18_F01	m150518_084731_42265_c100803552550000001823173210081575_s1_p0.1.bax.h5	1a81c0d2102ba562494f0e41e7e704a5
CHM1-Lib4_P6C4_40pM_SnowBall	CHM1_RS42142_ala_LouReed_E01	m150516_055801_42142_c100803532550000001823173210081594_s1_p0.metadata.xml	8fb0f62979da5bf3523149a7c9bc9dc0
CHM1-Lib4_P6C4_40pM_SnowBall	CHM1_RS42142_ala_LouReed_E01	m150516_055801_42142_c100803532550000001823173210081594_s1_p0.bas.h5	fad347435791f29d2ca7072670d3a656
CHM1-Lib4_P6C4_40pM_SnowBall	CHM1_RS42142_ala_LouReed_E01	m150516_055801_42142_c100803532550000001823173210081594_s1_p0.3.bax.h5	f35a2267354dca547fda0357c9f57235
CHM1-Lib4_P6C4_40pM_SnowBall	CHM1_RS42142_ala_LouReed_E01	m150516_055801_42142_c100803532550000001823173210081594_s1_p0.2.bax.h5	50e6778d9a9dc8a3029bc5c13c90bc72
CHM1-Lib4_P6C4_40pM_SnowBall	CHM1_RS42142_ala_LouReed_E01	m150516_055801_42142_c100803532550000001823173210081594_s1_p0.1.bax.h5	e996598cc6cee7afcc4a88f528f726be
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_E01	m150518_025845_42271_c100803292550000001823173210081524_s1_p0.metadata.xml	21dc1929337507f64966d73d8464ea53
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_E01	m150518_025845_42271_c100803292550000001823173210081524_s1_p0.bas.h5	ef542234ea8bace07c3ae15dce167dca
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_E01	m150518_025845_42271_c100803292550000001823173210081524_s1_p0.3.bax.h5	6bdd7f3309994a8b96c166a8672f8025
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_E01	m150518_025845_42271_c100803292550000001823173210081524_s1_p0.2.bax.h5	d965ad6da7c96a088ef7aab09ae81568
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_E01	m150518_025845_42271_c100803292550000001823173210081524_s1_p0.1.bax.h5	75878862659286580de9f059322d0eb6
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_D01	m150517_203509_42271_c100803292550000001823173210081523_s1_p0.metadata.xml	d7ba52b56de92ae4d5d9565b884e4391
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_D01	m150517_203509_42271_c100803292550000001823173210081523_s1_p0.bas.h5	cdee57f659f5d2bff6501434b9a338f8
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_D01	m150517_203509_42271_c100803292550000001823173210081523_s1_p0.3.bax.h5	5e33b0888515610e995f944e51315a42
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_D01	m150517_203509_42271_c100803292550000001823173210081523_s1_p0.2.bax.h5	e4ba368ba9775f453c72ed6b9f1a5941
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_D01	m150517_203509_42271_c100803292550000001823173210081523_s1_p0.1.bax.h5	c1c91eccec81a1c2d933a83023263365
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_C01	m150517_141123_42271_c100803292550000001823173210081522_s1_p0.metadata.xml	061129e1e1f83fd087df352b03c3102f
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_C01	m150517_141123_42271_c100803292550000001823173210081522_s1_p0.bas.h5	c55e60e33e1e9ce363f7cd87ecff7cd3
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_C01	m150517_141123_42271_c100803292550000001823173210081522_s1_p0.3.bax.h5	68544b15b3b88fbb98b67c507885d947
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_C01	m150517_141123_42271_c100803292550000001823173210081522_s1_p0.2.bax.h5	cee46b6327fdbed876428683aae2649d
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_C01	m150517_141123_42271_c100803292550000001823173210081522_s1_p0.1.bax.h5	916e7a3eb2f8e0838a43d696e26a5fd0
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_B01	m150517_074834_42271_c100803292550000001823173210081521_s1_p0.metadata.xml	a7e1f8a83db3dc4936ab6e3b3ffa7032
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_B01	m150517_074834_42271_c100803292550000001823173210081521_s1_p0.bas.h5	7ff2cf5ae963a91ca946562f09967e81
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_B01	m150517_074834_42271_c100803292550000001823173210081521_s1_p0.3.bax.h5	ddc7ba02d9ec2e2a9e3c92e7ea015213
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_B01	m150517_074834_42271_c100803292550000001823173210081521_s1_p0.2.bax.h5	1990d1db35ccebc9f99d2f77821ec5d5
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_B01	m150517_074834_42271_c100803292550000001823173210081521_s1_p0.1.bax.h5	1f1e251ccb3914a2686b5b3918e42b5c
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_A01	m150517_012530_42271_c100803292550000001823173210081520_s1_p0.metadata.xml	0977d759ddad407cd48d3c54cb570ef6
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_A01	m150517_012530_42271_c100803292550000001823173210081520_s1_p0.bas.h5	af404c19c2c86366c8b4b160d6c09843
CHM1_Lib4_P6C4_54pM	2015-05-16_RS42271_CHM1_Lib4_Run18_A01	m150517_012530_42271_c100803292550000001823173210081520_s1_p0.3.bax.h5	04225b3dcfeb5889f51aa67a488bc67a
